rank,name,homepage,page_url,feed_url,link_text,depth
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-12-12-new-hub-launched-explore-use-artificial-intelligence-education,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-12-09-new-project-aims-transform-how-wildlife-trade-monitored-and-managed,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-11-15-oxford-university-innovations-2024-impact-report-showcases-year-transformative,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-11-14-outsourcing-adult-social-care-has-contributed-england-s-care-crisis-argue,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-11-14-men-more-willing-women-accept-robot-care-old-age-oxford-study-finds,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-11-13-new-ethical-framework-help-navigate-use-ai-academic-research,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-11-13-climate-policy-monitor-reveals-net-zero-regulations-surge-globally-implementation,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-11-12-new-ukri-funded-network-bolster-uk-s-cyber-security-research-ecosystem,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-11-08-oxford-s-gargoyles-come-life-new-extended-reality-xr-interactive-experience,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-10-31-work-nature-unlock-economic-prosperity-says-major-oxford-study,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-10-23-new-study-reveals-global-consensus-what-democracy-means,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-10-22-new-legal-research-gaza-war-urges-immediate-action,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-10-18-pioneering-digital-technology-examine-musical-themes-england-s-most-celebrated,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-10-08-new-report-spotlights-urgent-issues-faced-mobile-indigenous-populations,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-10-03-oxford-researchers-record-wettest-month-250-years,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
4,Harvard University,https://www.harvard.edu/,https://www.harvard.edu/federal-lawsuits/,https://www.harvard.edu/federal-lawsuits/federal-lawsuits/feed/,Federal Lawsuits » Federal Lawsuits Comments Feed,1
4,Harvard University,https://www.harvard.edu/,https://www.harvard.edu/federal-lawsuits/,https://www.harvard.edu/federal-lawsuits/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.harvard.edu%2Ffederal-lawsuits%2F&format=xml,oEmbed (XML),1
4,Harvard University,https://www.harvard.edu/,https://www.harvard.edu/media-relations,https://www.harvard.edu/media-relations/media-relations/feed/,Media Relations » Media Relations Comments Feed,1
4,Harvard University,https://www.harvard.edu/,https://www.harvard.edu/media-relations,https://www.harvard.edu/media-relations/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.harvard.edu%2Fmedia-relations%2F&format=xml,oEmbed (XML),1
4,Harvard University,https://www.harvard.edu/,https://www.harvard.edu/federal-lawsuits/research-funding/,https://www.harvard.edu/federal-lawsuits/research-funding/feed/,Federal Lawsuits » Research Funding Comments Feed,2
4,Harvard University,https://www.harvard.edu/,https://www.harvard.edu/federal-lawsuits/research-funding/,https://www.harvard.edu/federal-lawsuits/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.harvard.edu%2Ffederal-lawsuits%2Fresearch-funding%2F&format=xml,oEmbed (XML),2
4,Harvard University,https://www.harvard.edu/,https://www.harvard.edu/federal-lawsuits/category/news/,https://www.harvard.edu/federal-lawsuits/category/news/feed/,Federal Lawsuits » News Category Feed,2
4,Harvard University,https://www.harvard.edu/,https://www.harvard.edu/federal-lawsuits/category/in-the-media/,https://www.harvard.edu/federal-lawsuits/category/in-the-media/feed/,Federal Lawsuits » In the Media Category Feed,2
4,Harvard University,https://www.harvard.edu/,https://www.harvard.edu/media-relations#main-content,https://www.harvard.edu/media-relations/media-relations/feed/,Media Relations » Media Relations Comments Feed,2
4,Harvard University,https://www.harvard.edu/,https://www.harvard.edu/media-relations#main-content,https://www.harvard.edu/media-relations/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.harvard.edu%2Fmedia-relations%2F&format=xml,oEmbed (XML),2
4,Harvard University,https://www.harvard.edu/,https://www.harvard.edu/media-relations/resources-for-media/multimedia-content-use-policies/,https://www.harvard.edu/media-relations/resources-for-media/multimedia-content-use-policies/feed/,Media Relations » Multimedia Content Use Policies Comments Feed,2
4,Harvard University,https://www.harvard.edu/,https://www.harvard.edu/media-relations/resources-for-media/multimedia-content-use-policies/,https://www.harvard.edu/media-relations/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.harvard.edu%2Fmedia-relations%2Fresources-for-media%2Fmultimedia-content-use-policies%2F&format=xml,oEmbed (XML),2
